Player,Club,Year,Season,Minutes Played,Shutouts,Win Percentage (%),Save Percentage (%),Year = 1,Year = 2,Year = 3,Year = 4,Year = 5,"Interaction(Shutouts,Win Percentage (%))"
Brian Rowe ,,2,0,300,1,66.7%,70.0%,0,1,0,0,0,0.666666667
Zac MacMath,,2,0,180,0,0.0%,66.7%,0,1,0,0,0,0
Eirik Johansen,,2,0,180,0,0.0%,56.3%,0,1,0,0,0,0
Chris Seitz,,2,0,180,0,50.0%,44.4%,0,1,0,0,0,0
Luis Robles,,2,0,180,0,0.0%,33.3%,0,1,0,0,0,0
Tim Howard,,2,0,210,1,50.0%,80.0%,0,1,0,0,0,0.5
Nick Rimando,,2,0,90,0,0.0%,0.0%,0,1,0,0,0,0
Alex Bono,,3,0,450,3,60.0%,83.3%,0,0,1,0,0,1.8
Zack Steffen,,3,0,480,2,20.0%,82.6%,0,0,1,0,0,0.4
Stefan Frei,,3,0,360,3,50.0%,86.7%,0,0,1,0,0,1.5
Luis Robles,,3,0,270,2,66.7%,66.7%,0,0,1,0,0,1.333333333
Stefan Marinovic,,3,0,270,2,33.3%,81.8%,0,0,1,0,0,0.666666667
Joe Willis,,3,0,270,0,33.3%,57.1%,0,0,1,0,0,0
Jeff Attinella,,3,0,180,1,0.0%,66.7%,0,0,1,0,0,0
Sean Johnson,,3,0,180,1,50.0%,50.0%,0,0,1,0,0,0.5
Tyler Deric,,3,0,210,2,50.0%,100.0%,0,0,1,0,0,1
Matt Lampson,,3,0,90,0,0.0%,33.3%,0,0,1,0,0,0
Tyler Miller,,3,0,90,1,100.0%,100.0%,0,0,1,0,0,1
Jeff Attinella,,4,0,570,1,50.0%,67.9%,0,0,0,1,0,0.5
Brad Guzan,,4,0,450,3,80.0%,85.7%,0,0,0,1,0,2.4
Luis Robles,,4,0,360,2,50.0%,73.3%,0,0,0,1,0,1
Tim Melia,,4,0,360,1,25.0%,68.4%,0,0,0,1,0,0.25
Sean Johnson,,4,0,270,0,33.3%,50.0%,0,0,0,1,0,0
Nick Rimando,,4,0,270,0,33.3%,57.1%,0,0,0,1,0,0
Quentin Westberg,,5,0,390,0,75.0%,70.8%,0,0,0,0,1,0
Stefan Frei,,5,0,390,1,100.0%,70.6%,0,0,0,0,1,1
Brad Guzan,,5,0,270,2,66.7%,84.6%,0,0,0,0,1,1.333333333
Nick Rimando,,5,0,180,0,50.0%,64.3%,0,0,0,0,1,0
David Bingham,,5,0,180,0,50.0%,40.0%,0,0,0,0,1,0
Tyler Miller,,5,0,180,0,50.0%,45.5%,0,0,0,0,1,0
Andre Blake,,5,0,210,0,50.0%,50.0%,0,0,0,0,1,0
Sean Johnson,,5,0,90,0,0.0%,71.4%,0,0,0,0,1,0
Vito Mannone,,5,0,90,0,0.0%,66.7%,0,0,0,0,1,0
,,,,,,,,,,,,,
